name_cs;name_et;price_cs;price_et;brut_kar;all_et_fees_tl;net_kar;comm_cs;comm_et;rating_et;note_cs;link_et;link_cs;image_et;image_cs
Kişiye Özel Mekanizmalı Deri Cüzdan;Flag Wallet,Fathers Day Gift for Dad,Personalized Wallet,Mens Wallet,,Leather Wallet,Custom Wallet,Gift for Men,Anniversary Gift for Him;26.9;264.89;237.99;40.895573;180.594427;999;;;;https://www.etsy.com/listing/1029108377/flag-walletfathers-day-gift-for?ga_order=highest_reviews&ga_search_type=all&ga_view_type=gallery&ga_search_query=Leather+Wallet+with+Personalized+Mechanism&ref=sc_gallery-1-1&plkey=8c0cf0157af826adbc47939d2b1d3fc9941deb8f%3A1029108377&pro=1&frs=1;https://www.ciceksepeti.com/mekanizmali-deri-cuzdan-kc2546726;https://i.etsystatic.com/30167768/d/il/b834df/3167234349/il_340x270.3167234349_kgwd.jpg?version=0;https://cdn03.ciceksepeti.com/cicek/kc2546726-1/M/mekanizmali-deri-cuzdan-kc2546726-1-bab6c77b39f34d8a971753b66bcc6db8.jpg
Kişiye Özel Mekanizmalı Deri Cüzdan;father's day gift wallet, Genuine Soft Black Leather Wallet, Personalized Gift for Boyfriend, Father's Day Gift, Anniversary Gift for Him;26.9;171.44;144.54;28.214408;99.825592;999;;;;https://www.etsy.com/listing/1034220219/fathers-day-gift-wallet-genuine-soft?ga_order=highest_reviews&ga_search_type=all&ga_view_type=gallery&ga_search_query=Leather+Wallet+with+Personalized+Mechanism&ref=sc_gallery-1-2&plkey=8d36680b23a160d532df8caaec82efd001fbe169%3A1034220219&pro=1;https://www.ciceksepeti.com/mekanizmali-deri-cuzdan-kc2546726;https://i.etsystatic.com/30256314/c/1600/1197/0/0/il/afb716/3186714459/il_340x270.3186714459_42y4.jpg;https://cdn03.ciceksepeti.com/cicek/kc2546726-1/M/mekanizmali-deri-cuzdan-kc2546726-1-bab6c77b39f34d8a971753b66bcc6db8.jpg
Kişiye Özel Mekanizmalı Deri Cüzdan;Fathers Day Gift for Dad,Personalized Wallet,Mens Wallet,Engraved Wallet,Leather Wallet,Custom Wallet,Gift for Men,Anniversary Gift for Him;26.9;242.96;216.06;37.919672;161.640328;999;11;5;;https://www.etsy.com/listing/1021186178/fathers-day-gift-for-dadpersonalized?ga_order=highest_reviews&ga_search_type=all&ga_view_type=gallery&ga_search_query=Leather+Wallet+with+Personalized+Mechanism&ref=sc_gallery-1-3&plkey=3b14a8244d9f62619330b95c742025789818a75f%3A1021186178&pro=1;https://www.ciceksepeti.com/mekanizmali-deri-cuzdan-kc2546726;https://i.etsystatic.com/27123469/c/1508/1194/731/520/il/5bfd49/3142642638/il_340x270.3142642638_c7cl.jpg;https://cdn03.ciceksepeti.com/cicek/kc2546726-1/M/mekanizmali-deri-cuzdan-kc2546726-1-bab6c77b39f34d8a971753b66bcc6db8.jpg
Kişiye Özel İsimli Siyah Benzinli Metal Çakmak;Full Name Monogram Matte Black Zippo Cigar Lighter - Black Metal Lighter with Personalized Engraving;19.99;217.01;197.02;34.398257;146.121743;999;1566;4.82;Aynı Gün Teslimat Seçeneği;https://www.etsy.com/listing/679757007/full-name-monogram-matte-black-zippo?ga_order=highest_reviews&ga_search_type=all&ga_view_type=gallery&ga_search_query=Black+Gasoline+Metal+Lighter+with+Personalized+Name&ref=sc_gallery-1-1&plkey=cb1b7871a4972bf340c33dd992fa8e6fbeb525af%3A679757007;https://www.ciceksepeti.com/kisiye-ozel-isimli-siyah-metal-cakmak-1-kc826450;https://i.etsystatic.com/12334423/d/il/3793f9/1766145532/il_340x270.1766145532_gton.jpg?version=0;https://cdn03.ciceksepeti.com/cicek/kc826450-1/M/kisiye-ozel-isimli-siyah-benzinli-metal-cakmak-kc826450-1-753ef953bf93450585197dbbd824c2a7.jpg
Kişiye Özel İsimli Siyah Benzinli Metal Çakmak;Golf 19th Hole Custom Name Metal Sign, Golf Sign, Bar Sign, 19th Hole, Custom Golf Sign, Man Cave, Home Bar, Game Room Sign, Fathers Day;19.99;433.93;413.94;63.834301;333.605699;999;2315;4.82;Aynı Gün Teslimat Seçeneği;https://www.etsy.com/listing/1020678804/golf-19th-hole-custom-name-metal-sign?ga_order=highest_reviews&ga_search_type=all&ga_view_type=gallery&ga_search_query=Black+Gasoline+Metal+Lighter+with+Personalized+Name&ref=sc_gallery-1-2&plkey=29c9451b98337bd12dadff60d403f3f93bd10792%3A1020678804;https://www.ciceksepeti.com/kisiye-ozel-isimli-siyah-metal-cakmak-1-kc826450;https://i.etsystatic.com/22187715/d/il/8979b1/3140707134/il_340x270.3140707134_lzud.jpg?version=0;https://cdn03.ciceksepeti.com/cicek/kc826450-1/M/kisiye-ozel-isimli-siyah-benzinli-metal-cakmak-kc826450-1-753ef953bf93450585197dbbd824c2a7.jpg
Kişiye Özel İsimli Siyah Benzinli Metal Çakmak;Personalized Family Name Metal Sign Wall Decor for Home;19.99;520;500.01;75.514;407.996;999;;;Aynı Gün Teslimat Seçeneği;https://www.etsy.com/listing/1020548414/personalized-family-name-metal-sign-wall?ga_order=highest_reviews&ga_search_type=all&ga_view_type=gallery&ga_search_query=Black+Gasoline+Metal+Lighter+with+Personalized+Name&ref=sc_gallery-1-3&plkey=cac479760f3a55cd7833f6d437e5b25e305fed30%3A1020548414&pro=1&frs=1;https://www.ciceksepeti.com/kisiye-ozel-isimli-siyah-metal-cakmak-1-kc826450;https://i.etsystatic.com/30380241/d/il/c590e1/3140107486/il_340x270.3140107486_36c3.jpg?version=0;https://cdn03.ciceksepeti.com/cicek/kc826450-1/M/kisiye-ozel-isimli-siyah-benzinli-metal-cakmak-kc826450-1-753ef953bf93450585197dbbd824c2a7.jpg
Üç İsimli Kişiye Özel Kalpler Gümüş Kolye;Personalized Signature Style Couple Name Necklace,Sterling Silver Necklaces,Dainty Name Necklace,Anniversary Gifts for Her,Personalized Gift;59.9;178.91;119.01;29.228087;73.281913;999;;;Aynı Gün Teslimat Seçeneği;https://www.etsy.com/listing/1014995294/personalized-signature-style-couple-name?ga_order=highest_reviews&ga_search_type=all&ga_view_type=gallery&ga_search_query=Three+Names+Personalized+Hearts+Sterling+Silver+Necklace&ref=sc_gallery-1-1&plkey=7f5de660c6df62e7d4a1404dbfb9287795790828%3A1014995294&pro=1&frs=1;https://www.ciceksepeti.com/uc-isimli-kisiye-ozel-kalpler-gumus-kolye-kc520528;https://i.etsystatic.com/27321863/d/il/5275f5/3118893834/il_340x270.3118893834_o4pq.jpg?version=0;https://cdn03.ciceksepeti.com/cicek/kc520528-1/M/uc-simli-kisiye-ozel-kalpler-gumus-kolye-kc520528-1-3de7d34258ce47e9985e4d959bb9cf27.jpg
Üç İsimli Kişiye Özel Kalpler Gümüş Kolye;2 Hearts Necklace, Engraved Heart Pendant, Custom Heart Necklace, Interlocking Heart Necklace, Couple Necklace, Personalized Gift For Her;59.9;196.3;136.4;31.58791;88.31209;999;88;4.23;Aynı Gün Teslimat Seçeneği;https://www.etsy.com/listing/1003211874/2-hearts-necklace-engraved-heart-pendant?ga_order=highest_reviews&ga_search_type=all&ga_view_type=gallery&ga_search_query=Three+Names+Personalized+Hearts+Sterling+Silver+Necklace&ref=sc_gallery-1-2&plkey=ad4ec3e30b575490f046ef40693e1ba06c071c0e%3A1003211874&pro=1&frs=1;https://www.ciceksepeti.com/uc-isimli-kisiye-ozel-kalpler-gumus-kolye-kc520528;https://i.etsystatic.com/25594295/d/il/b55c3f/3074373574/il_340x270.3074373574_e6eu.jpg?version=0;https://cdn03.ciceksepeti.com/cicek/kc520528-1/M/uc-simli-kisiye-ozel-kalpler-gumus-kolye-kc520528-1-3de7d34258ce47e9985e4d959bb9cf27.jpg
Kişiye Özel İsimli Papatya Kolye;Personalized Name Necklace • Children Name Necklace  • Little Girl Name Necklace • Custom Name Necklace • Name Necklace For Kids Birthday;19.99;162.52;142.53;27.003964;99.026036;999;123;4.42;Aynı Gün Teslimat Seçeneği;https://www.etsy.com/listing/1030135295/personalized-name-necklace-children-name?ga_order=highest_reviews&ga_search_type=all&ga_view_type=gallery&ga_search_query=Personalized+Name+Daisy+Necklace&ref=sc_gallery-1-1&plkey=fb3fb4439bd8bc3230040d0fd3b4da1ef4dfd20d%3A1030135295&pro=1;https://www.ciceksepeti.com/kisiye-ozel-isimli-papatya-kolye-kc5118532;https://i.etsystatic.com/26031617/d/il/e4b6dd/3123235298/il_340x270.3123235298_cul1.jpg?version=0;https://cdn03.ciceksepeti.com/cicek/kc5118532-1/M/kisiye-ozel-simli-papatya-kolye-kc5118532-1-2aca0676276c4ddcb660ef16c6d9e911.jpg
Üç İsimli Kişiye Özel Kalpler Gümüş Kolye;Personalized Family Necklace with Kids Names and Birthstones - Love and Hearts - Sterling Silver Custom Hand Stamped Family Jewelry for Mom;59.9;364.57;304.67;54.422149;233.747851;999;7716;4.7;Aynı Gün Teslimat Seçeneği;https://www.etsy.com/listing/170517655/personalized-family-necklace-with-kids?ga_order=highest_reviews&ga_search_type=all&ga_view_type=gallery&ga_search_query=Three+Names+Personalized+Hearts+Sterling+Silver+Necklace&ref=sc_gallery-1-3&plkey=5713aa88f7b079e031820e77f9e0e08634d64b7f%3A170517655;https://www.ciceksepeti.com/uc-isimli-kisiye-ozel-kalpler-gumus-kolye-kc520528;https://i.etsystatic.com/6163833/c/1935/1545/498/656/il/769c7a/3013305987/il_340x270.3013305987_6evl.jpg;https://cdn03.ciceksepeti.com/cicek/kc520528-1/M/uc-simli-kisiye-ozel-kalpler-gumus-kolye-kc520528-1-3de7d34258ce47e9985e4d959bb9cf27.jpg
Kişiye Özel İsimli Papatya Kolye;Personalized Signature Style Couple Name Necklace,Sterling Silver Necklaces,Dainty Name Necklace,Anniversary Gifts for Her,Personalized Gift;19.99;178.91;158.92;29.228087;113.191913;999;;;Aynı Gün Teslimat Seçeneği;https://www.etsy.com/listing/1014995294/personalized-signature-style-couple-name?ga_order=highest_reviews&ga_search_type=all&ga_view_type=gallery&ga_search_query=Personalized+Name+Daisy+Necklace&ref=sc_gallery-1-2&plkey=5234da19c9fc2fd17572f90a31de82ee9b6fe133%3A1014995294&pro=1&frs=1;https://www.ciceksepeti.com/kisiye-ozel-isimli-papatya-kolye-kc5118532;https://i.etsystatic.com/27321863/d/il/5275f5/3118893834/il_340x270.3118893834_o4pq.jpg?version=0;https://cdn03.ciceksepeti.com/cicek/kc5118532-1/M/kisiye-ozel-simli-papatya-kolye-kc5118532-1-2aca0676276c4ddcb660ef16c6d9e911.jpg
Kişiye Özel İsimli Papatya Kolye;Initial Date Disc Necklace,Sterling Silver Initial Disc,Name Necklace,Personalised Round Initial Disc,Girlfriend Necklace,Gift For Her;19.99;182.02;162.03;29.650114;115.879886;999;39;3.95;Aynı Gün Teslimat Seçeneği;https://www.etsy.com/listing/960215412/initial-date-disc-necklacesterling?ga_order=highest_reviews&ga_search_type=all&ga_view_type=gallery&ga_search_query=Personalized+Name+Daisy+Necklace&ref=sc_gallery-1-3&plkey=ad93e589b4f5f04a1e664b2be20f7ca49348a0e1%3A960215412&pro=1&frs=1;https://www.ciceksepeti.com/kisiye-ozel-isimli-papatya-kolye-kc5118532;https://i.etsystatic.com/26022652/d/il/34daf5/3182973669/il_340x270.3182973669_a6i8.jpg?version=0;https://cdn03.ciceksepeti.com/cicek/kc5118532-1/M/kisiye-ozel-simli-papatya-kolye-kc5118532-1-2aca0676276c4ddcb660ef16c6d9e911.jpg
